"employees","employee_salaries","salary_adjustments","salaries_2018","employee_has_raise"
"79","Employee 79",48689.7265585139,5313.92376753502,54003.650326049,TRUE
"80","Employee 80",46182.9346069135,-1032.88050624542,45150.0541006681,FALSE
"81","Employee 81",43796.3822693564,6253.70234600268,50050.0846153591,TRUE
"82","Employee 82",49397.7274838835,-3036.10146860592,46361.6260152776,FALSE
"83","Employee 83",44982.3774653487,541.833146708086,45524.2106120568,TRUE
"84","Employee 84",47416.6053486988,8959.32997227646,56375.9353209753,TRUE
"85","Employee 85",42510.1127591915,-4637.73442083038,37872.3783383612,FALSE
"86","Employee 86",47713.7462608516,7713.92791182734,55427.674172679,TRUE
"87","Employee 87",42736.7196488194,7099.21698318794,49835.9366320074,TRUE
"88","Employee 88",46508.3680767566,5028.26677518897,51536.6348519456,TRUE
"89","Employee 89",47975.4592757672,2050.33545033075,50025.794726098,TRUE
"90","Employee 90",47328.7981469184,-3028.15257455222,44300.6455723662,FALSE
"91","Employee 91",47211.6642817855,-4564.985986799,42646.6782949865,FALSE
"92","Employee 92",41553.0788060278,-2377.70093488507,39175.3778711427,FALSE
"93","Employee 93",48531.7788738757,-3986.84296524152,44544.9359086342,FALSE
"94","Employee 94",40351.8445696682,2997.82709800638,43349.6716676746,TRUE
"95","Employee 95",41035.2868051268,702.602715464309,41737.8895205911,TRUE
"96","Employee 96",43261.6221974604,4203.32585112192,47464.9480485823,TRUE
"97","Employee 97",46915.3292640112,4907.7402043622,51823.0694683734,TRUE
"98","Employee 98",41344.3282572553,-4540.99118593149,36803.3370713238,FALSE
"99","Employee 99",42400.4096118733,8989.99190656468,51390.401518438,TRUE
"100","Employee 100",47400.7461313158,2973.44436519779,50374.1904965136,TRUE
